"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","date","PRCP","PRCP_ATTRIBUTES","avtemp","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-08",,,"60","H,,S","71",",,S","53",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-09",,,"61","H,,S",,,"54",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-10","0.04",",,S","62","H,,S","68",",,S","55",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-11","0.31",",,S","55","H,,S","67",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-12","0.51",",,S","54","H,,S","69",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-13","0.00",",,S","54","H,,S","66",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-14",,,"54","H,,S","67",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-15",,,"51","H,,S","69",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-16",,,"53","H,,S","68",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-17",,,"54","H,,S","65",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-18",,,"51","H,,S","67",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-19",,,"51","H,,S","69",",,S","40",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-20",,,"51","H,,S","67",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-21",,,"53","H,,S","66",",,S","41",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-22",,,"51","H,,S","63",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-23",,,"51","H,,S","66",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-24",,,"50","H,,S","63",",,S","39",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-25",,,"49","H,,S","64",",,S","38",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-26",,,"51","H,,S","60",",,S","41",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-27",,,"54","H,,S","71",",,S","43",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-28",,,"55","H,,S","72",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-29",,,"56","H,,S","72",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-30",,,"56","H,,S","74",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2015-12-31",,,"56","H,,S","74",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-01",,,"53","H,,S","65",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-02",,,"53","H,,S","69",",,S","43",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-03",,,"55","H,,S","69",",,S","43",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-04",,,"58","H,,S","64",",,S","50",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-05",,,"59","H,,S","75",",,S","50",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-06",,,"59","H,,S","71",",,S","48",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-07",,,"59","H,,S","75",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-08","0.02",",,S","59","H,,S","74",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-09","0.00",",,S","53","H,,S","68",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-10",,,"54","H,,S","70",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-11",,,"55","H,,S","71",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-12",,,"56","H,,S","67",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-13",,,"55","H,,S","69",",,S","46",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-14",,,"54","H,,S","62",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-15",,,"52","H,,S","59",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-16",,,"51","H,,S","59",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-17",,,"49","H,,S","54",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-18",,,"50","H,,S","62",",,S","38",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-19",,,"47","H,,S","56",",,S","41",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-20",,,"47","H,,S","49",",,S","42",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-21",,,"47","H,,S","51",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-22",,,"44","H,,S","51",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-23",,,"41","H,,S","45",",,S","36",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-24",,,"42","H,,S","52",",,S","33",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-25",,,"44","H,,S","53",",,S","38",",,S"
