date,tmax,tmin,avtemp
1/1/2021,39.9,33.1,36.5
1/2/2021,51.1,36,43.55
1/3/2021,37.9,34,35.95
1/4/2021,43,35.1,39.05
1/5/2021,42.1,36,39.05
1/6/2021,41,34,37.5
1/7/2021,41,30.2,35.6
1/8/2021,37,27.1,32.05
1/9/2021,37,24.3,30.65
1/10/2021,41,29.1,35.05
1/11/2021,37,28.2,32.6
1/12/2021,44.1,33.1,38.6
1/13/2021,43,35.1,39.05
1/14/2021,48.9,39,43.95
1/15/2021,46,37.9,41.95
1/16/2021,46.9,37,41.95
1/17/2021,44.1,35.1,39.6
1/18/2021,45,37,41
1/19/2021,43,35.1,39.05
1/20/2021,39.9,27.1,33.5
1/21/2021,43,25.2,34.1
1/22/2021,45,36,40.5
1/23/2021,36,24.3,30.15
1/24/2021,32,22.1,27.05
1/25/2021,37,23.2,30.1
1/26/2021,34,31.1,32.55
1/27/2021,37,31.1,34.05
1/28/2021,34,20.1,27.05
1/29/2021,25.2,14.2,19.7
1/30/2021,32,17.2,24.6
1/31/2021,26.2,20.1,23.15
2/1/2021,34,22.1,28.05
2/2/2021,33.1,30.2,31.65
2/3/2021,37,29.1,33.05
2/4/2021,43,31.1,37.05
2/5/2021,46.9,37,41.95
2/6/2021,44.1,34,39.05
2/7/2021,39.9,24.3,32.1
2/8/2021,29.1,17.2,23.15
2/9/2021,33.1,27.1,30.1
2/10/2021,35.1,26.2,30.65
2/11/2021,33.1,26.2,29.65
2/12/2021,30.2,20.1,25.15
2/13/2021,30.2,25.2,27.7
2/14/2021,37.9,27.1,32.5
2/15/2021,36,31.1,33.55
2/16/2021,51.1,34,42.55
2/17/2021,34,22.1,28.05
2/18/2021,30.2,24.3,27.25
2/19/2021,33.1,28.2,30.65
2/20/2021,35.1,26.2,30.65
2/21/2021,37,24.3,30.65
2/22/2021,39,32,35.5
2/23/2021,45,36,40.5
2/24/2021,54,39,46.5
2/25/2021,50,39.9,44.95
2/26/2021,45,33.1,39.05
2/27/2021,50,37.9,43.95
2/28/2021,45,41,43
3/1/2021,48.9,31.1,40
3/2/2021,33.1,21.2,27.15
3/3/2021,52,32,42
3/4/2021,45,27.1,36.05
3/5/2021,37,23.2,30.1
3/6/2021,34,29.1,31.55
3/7/2021,41,29.1,35.05
3/8/2021,43,26.2,34.6
3/9/2021,64,42.1,53.05
3/10/2021,54,41,47.5
3/11/2021,71.1,44.1,57.6
3/12/2021,68,52,60
3/13/2021,52,33.1,42.55
3/14/2021,54,31.1,42.55
3/15/2021,39,24.3,31.65
3/16/2021,37,29.1,33.05
3/17/2021,46.9,34,40.45
3/18/2021,46.9,41,43.95
3/19/2021,43,31.1,37.05
3/20/2021,59,33.1,46.05
3/21/2021,63,42.1,52.55
3/22/2021,62.1,42.1,52.1
3/23/2021,66,43,54.5
3/24/2021,55.9,46.9,51.4
3/25/2021,68,48.9,58.45
3/26/2021,82,52,67
3/27/2021,69.1,50,59.55
3/28/2021,60.1,48,54.05
3/29/2021,55,45,50
3/30/2021,61,42.1,51.55
3/31/2021,66.9,50,58.45
4/1/2021,57.9,37.9,47.9
4/2/2021,39,28.2,33.6
4/3/2021,53.1,32,42.55
4/4/2021,64.9,45,54.95
4/5/2021,68,48,58
4/6/2021,70,46.9,58.45
4/7/2021,72,51.1,61.55
4/8/2021,70,48.9,59.45
4/9/2021,59,48.9,53.95
4/10/2021,70,51.1,60.55
4/11/2021,57,46.9,51.95
4/12/2021,51.1,45,48.05
4/13/2021,64.9,44.1,54.5
4/14/2021,72,48,60
4/15/2021,57.9,45,51.45
4/16/2021,53.1,41,47.05
4/17/2021,55.9,43,49.45
4/18/2021,64,48.9,56.45
4/19/2021,64.9,52,58.45
4/20/2021,75.9,53.1,64.5
4/21/2021,68,39,53.5
4/22/2021,48,36,42
4/23/2021,64,39,51.5
4/24/2021,72,52,62
4/25/2021,63,48.9,55.95
4/26/2021,60.1,41,50.55
4/27/2021,64,46,55
4/28/2021,84.9,52,68.45
4/29/2021,75,59,67
4/30/2021,71.1,46,58.55
5/1/2021,64.9,42.1,53.5
5/2/2021,82,55.9,68.95
5/3/2021,66,52,59
5/4/2021,73,52,62.5
5/5/2021,62.1,52,57.05
5/6/2021,66,50,58
5/7/2021,66,48.9,57.45
5/8/2021,55,48,51.5
5/9/2021,64.9,46,55.45
5/10/2021,60.1,46.9,53.5
5/11/2021,66.9,48.9,57.9
5/12/2021,68,46,57
5/13/2021,72,50,61
5/14/2021,75.9,52,63.95
5/15/2021,79,55,67
5/16/2021,75,59,67
5/17/2021,78.1,55.9,67
5/18/2021,82,60.1,71.05
5/19/2021,86,64.9,75.45
5/20/2021,75.9,59,67.45
5/21/2021,79,57.9,68.45
5/22/2021,89.1,64.9,77
5/23/2021,88,68,78
5/24/2021,68,59,63.5
5/25/2021,73,57.9,65.45
5/26/2021,86,64.9,75.45
5/27/2021,81,64.9,72.95
5/28/2021,69.1,48.9,59
5/29/2021,51.1,46.9,49
5/30/2021,51.1,46.9,49
5/31/2021,70,48.9,59.45
6/1/2021,75.9,57,66.45
6/2/2021,75,62.1,68.55
6/3/2021,73.9,60.1,67
6/4/2021,78.1,63,70.55
6/5/2021,89.1,66,77.55
6/6/2021,91.9,75.9,83.9
6/7/2021,91,75.9,83.45
6/8/2021,90,72,81
6/9/2021,90,72,81
6/10/2021,84,64.9,74.45
6/11/2021,69.1,62.1,65.6
6/12/2021,69.1,62.1,65.6
6/13/2021,75.9,62.1,69
6/14/2021,73,64,68.5
